School_Code:SC_CAT_NC_BP:Town:SC_CAT_NC_BR:SC_CAT_NC_BS:SC_CAT_NC_BT:SC_CAT_NC_BU:SC_V_NC_BV:SC_V_NC_BX:SC_V_NC_BY:SC_V_NC_BZ:SC_V_NC_CA:SC_V_NC_CB:SC_V_NC_CC:SC_V_NC_CD:SC_V_NC_CE:SC_V_NC_CF:SC_V_NC_CG:SC_V_NC_CH:SC_V_NC_CI:SC_V_NC_CJ:SC_V_NC_CK:SC_P_NC_CL:SC_P_NC_CM:SC_P_NC_CN:SC_P_NC_CO:SC_P_NC_CP:SC_P_C_CQ1:SC_P_C_CQ2:SC_P_C_CQ3:SC_P_C_CQ4:SC_P_C_CQ5:SC_P_C_CQ6:SC_P_C_CQ7:SC_P_NC_CR:SC_V_NC_CS:SC_V_NC_CT:SC_V_NC_CU:SC_V_NC_CV
01490015:Public School:Lawrence:03,04,05,06,07,08:01490000:Level 3:Level 5:0:0:0:90:75:88:97:79:85:0:0:0:0:0:514:77.6:31.3:17.9:87.5:68.9:1.4:1.9:92.2:4.5:0.0:0.0:0.0:50.0:22.5:70872.0:14115.28:14474.68
01490017:Public School:Lawrence:05,06,07,08:01490000:Level 3:Level 5:0:0:0:0:0:127:152:146:146:0:0:0:0:0:571:81.8:36.6:14.7:87.2:64.8:0.7:0.0:97.4:1.8:0.0:0.0:0.2:49.6:23.2:70872.0:14115.28:14474.68
01490009:Public School:Lawrence:K,01,02,03,04:01490000:Level 1:Level 5:0:123:119:123:123:0:0:0:0:0:0:0:0:0:587:76.5:52.1:12.8:90.3:69.5:0.5:0.0:97.3:2.0:0.0:0.0:0.2:48.7:24.2:70872.0:14115.28:14474.68
01490053:Public School:Lawrence:K,01,02,03,04:01490000:Level 3:Level 5:0:143:128:134:145:0:0:0:0:0:0:0:0:0:639:54.1:32.1:14.1:82.3:63.4:0.8:0.5:90.5:7.4:0.2:0.0:0.8:50.9:21.5:70872.0:14115.28:14474.68
01490080:Public School:Lawrence:K,01,02,03,04,05,06,07,08:01490000:Level 1:Level 5:0:82:67:84:90:80:88:88:96:0:0:0:0:0:751:65.0:25.2:19.6:82.4:66.3:0.7:3.1:90.8:4.7:0.0:0.0:0.8:50.2:23.9:70872.0:14115.28:14474.68
01490040:Public School:Lawrence:K,01,02,03,04,05:01490000:Level 1:Level 5:0:97:94:94:62:63:0:0:0:0:0:0:0:0:484:69.6:38.0:12.8:88.6:69.6:1.4:0.0:95.9:2.5:0.0:0.0:0.2:52.3:23.4:70872.0:14115.28:14474.68
01490525:Public School:Lawrence:05,06,07,08:01490000:Level 2:Level 5:0:0:0:0:0:122:115:121:118:0:0:0:0:0:476:47.9:10.7:13.9:64.3:52.7:1.9:4.2:82.1:10.9:0.0:0.0:0.8:52.9:24.2:70872.0:14115.28:14474.68
01490022:Public School:Lawrence:01,02,03,04:01490000:Level 1:Level 5:0:128:135:139:118:0:0:0:0:0:0:0:0:0:520:67.3:32.5:18.5:89.2:74.0:1.5:1.0:93.7:3.1:0.2:0.0:0.6:50.8:23.3:70872.0:14115.28:14474.68
01490025:Public School:Lawrence:05,06,07,08:01490000:Level 3:Level 5:0:0:0:0:0:116:123:130:129:0:0:0:0:0:498:75.7:17.1:19.9:84.7:72.5:2.2:1.4:94.0:1.8:0.0:0.0:0.6:48.6:13.2:70872.0:14115.28:14474.68
01490536:Public School:Lawrence:09,10,11,12:01490000:Insufficient data:Level 5:0:0:0:0:0:0:0:0:0:6:32:51:87:0:176:80.1:28.4:14.8:81.8:62.5:1.1:0.6:95.5:2.8:0.0:0.0:0.0:64.8:8.9:70872.0:14115.28:14474.68
01490020:Public School:Lawrence:PK,K,01,02:01490000:Insufficient data:Level 5:94:94:96:0:0:0:0:0:0:0:0:0:0:0:384:68.0:46.1:21.6:89.8:71.6:1.3:1.6:91.4:5.2:0.0:0.0:0.5:53.9:19.9:70872.0:14115.28:14474.68
01490003:Public School:Lawrence:PK,K:01490000:Insufficient data:Level 5:204:0:0:0:0:0:0:0:0:0:0:0:0:0:327:55.0:23.5:25.7:79.5:65.7:0.9:4.6:86.2:7.3:0.0:0.0:0.9:56.0:13.8:70872.0:14115.28:14474.68
01490075:Public School:Lawrence:01,02,03,04,05:01490000:Level 1:Level 5:0:76:76:80:78:53:0:0:0:0:0:0:0:0:363:75.2:44.6:9.6:90.1:71.3:0.3:0.0:97.0:1.7:0.0:0.3:0.8:52.6:20.8:70872.0:14115.28:14474.68
01490002:Public School:Lawrence:PK,K:01490000:Insufficient data:Level 5:0:0:0:0:0:0:0:0:0:0:0:0:0:0:139:64.0:22.3:9.4:87.1:80.6:0.7:0.7:96.4:1.4:0.0:0.0:0.7:51.8:20.3:70872.0:14115.28:14474.68
01490011:Public School:Lawrence:PK,K:01490000:Insufficient data:Level 5:76:0:0:0:0:0:0:0:0:0:0:0:0:0:172:56.4:23.8:15.1:77.9:63.4:1.7:0.6:91.9:5.2:0.0:0.0:0.6:58.1:18.6:70872.0:14115.28:14474.68
01490515:Public School:Lawrence:09,10,11,12:01490000:Insufficient data:Level 5:0:0:0:0:0:0:0:0:0:990:795:793:702:15:3295:83.7:31.0:17.9:80.2:57.8:1.6:1.4:93.1:3.6:0.1:0.0:0.2:52.3:18.8:70872.0:14115.28:14474.68
01490048:Public School:Lawrence:01,02,03,04,05:01490000:Level 4:Level 5:0:96:103:94:104:103:0:0:0:0:0:0:0:0:500:63.0:32.6:17.6:88.6:71.8:1.2:0.4:92.8:5.0:0.0:0.0:0.6:51.6:25.4:70872.0:14115.28:14474.68
01490027:Public School:Lawrence:05,06,07,08:01490000:Level 1:Level 5:0:0:0:0:0:110:146:145:126:0:0:0:0:0:527:65.3:23.0:15.0:77.8:61.5:0.9:0.2:91.7:6.5:0.0:0.0:0.8:52.2:22.4:70872.0:14115.28:14474.68
01490540:Public School:Lawrence:09,10,11,12:01490000:Level 2:Level 5:0:0:0:0:0:0:0:0:0:61:32:25:33:0:151:75.5:18.5:22.5:84.1:72.8:2.6:0.7:90.7:6.0:0.0:0.0:0.0:58.3:14.1:70872.0:14115.28:14474.68
01490018:Public School:Lawrence:K,01,02,03,04:01490000:Level 3:Level 5:0:111:132:128:141:0:0:0:0:0:0:0:0:0:599:49.9:21.7:11.2:72.0:57.6:2.2:3.0:83.1:10.0:0.0:0.0:1.7:52.1:23.1:70872.0:14115.28:14474.68
01490001:Public School:Lawrence:PK,K:01490000:Insufficient data:Level 5:117:0:0:0:0:0:0:0:0:0:0:0:0:0:172:57.0:38.4:56.4:87.8:64.5:4.7:1.2:87.2:7.0:0.0:0.0:0.0:62.8:12.9:70872.0:14115.28:14474.68
01490537:Public School:Lawrence:K,01,02,03,04,05,06,07,08,09,10,11,12:01490000:Level 3:Level 5:0:8:10:8:13:11:15:13:19:15:12:17:16:19:176:56.8:14.8:100.0:100.0:80.7:2.3:0.6:84.7:11.9:0.0:0.0:0.6:79.0:5.8:70872.0:14115.28:14474.68
01490004:Public School:Lawrence:K,01,02,03,04,05:01490000:Level 2:Level 5:0:135:137:157:141:141:0:0:0:0:0:0:0:0:711:67.4:36.8:20.0:87.3:70.3:1.7:2.4:91.0:4.4:0.0:0.0:0.6:53.4:21.4:70872.0:14115.28:14474.68
01490085:Public School:Lawrence:06,07,08:01490000:Level 1:Level 5:0:0:0:0:0:0:140:158:160:0:0:0:0:0:458:74.5:27.9:26.4:84.5:68.3:1.3:2.4:92.1:3.7:0.0:0.0:0.4:46.7:16.8:70872.0:14115.28:14474.68
01490090:Public School:Lawrence:06,07,08:01490000:Level 1:Level 5:0:0:0:0:0:0:82:123:117:0:0:0:0:0:322:82.3:35.4:17.7:86.3:65.8:0.9:0.0:96.0:3.1:0.0:0.0:0.0:52.5:25.0:70872.0:14115.28:14474.68
01490049:Public School:Lawrence:06,07,08:01490000:Level 4:Level 5:0:0:0:0:0:0:125:117:103:0:0:0:0:0:345:79.7:30.7:17.4:83.2:63.8:1.2:0.3:96.8:1.7:0.0:0.0:0.0:53.0:24.0:70872.0:14115.28:14474.68
04540205:Charter School:Lawrence:PK,K,01,02,03,04,05,06,07,08:04540000:Level 1:Level 1:85:84:84:84:78:56:55:52:55:0:0:0:0:0:717:31.4:26.4:6.4:69.7:54.7:0.8:0.0:98.0:1.1:0.0:0.0:0.0:46.7:18.3:::
01500025:Public School:Lee:PK,K,01,02,03,04,05,06:01500000:Level 2:Level 2:15:53:47:37:38:44:60:0:0:0:0:0:0:0:336:3.3:3.0:12.8:51.2:41.4:0.6:2.4:10.7:82.1:0.0:0.0:4.2:47.9:15.9:64212.0:17810.4:16517.82
01500505:Public School:Lee:07,08,09,10,11,12:01500000:Level 2:Level 2:0:0:0:0:0:0:0:47:59:64:62:55:62:0:349:6.6:1.4:12.6:36.7:28.1:0.0:2.0:8.9:87.1:0.0:0.0:2.0:49.9:12.3:64212.0:17810.4:16517.82
01510505:Public School:Leicester:09,10,11,12:01510000:Level 1:Level 3:0:0:0:0:0:0:0:0:0:127:105:117:106:0:455:5.3:1.5:12.3:28.8:19.3:4.6:3.1:4.8:84.8:0.7:0.4:1.5:50.5:16.3:72758.0:11748.62:12761.79
01510005:Public School:Leicester:03,04,05:01510000:Level 3:Level 3:0:0:0:118:113:128:0:0:0:0:0:0:0:0:359:4.5:0.8:15.6:37.6:21.7:5.3:2.8:8.1:80.8:0.0:0.0:3.1:55.7:22.3:72758.0:11748.62:12761.79
01510015:Public School:Leicester:06,07,08:01510000:Level 2:Level 3:0:0:0:0:0:0:120:161:121:0:0:0:0:0:402:5.0:2.0:13.2:32.3:21.1:4.0:2.0:10.2:81.1:0.0:0.0:2.7:50.5:19.8:72758.0:11748.62:12761.79
01510010:Public School:Leicester:PK,K,01,02:01510000:Insufficient data:Level 3:70:102:97:0:0:0:0:0:0:0:0:0:0:0:358:5.6:3.1:17.6:39.1:28.5:6.1:3.1:7.8:81.3:0.6:0.0:1.1:58.1:17.7:72758.0:11748.62:12761.79
01520505:Public School:Lenox:06,07,08,09,10,11,12:01520000:Level 2:Level 2:0:0:0:0:0:0:68:68:69:68:50:68:64:0:455:6.4:2.6:9.5:25.9:18.9:0.7:5.3:6.4:85.3:0.2:0.0:2.2:45.5:11.3:72217.0:18273.0:17527.3
01520015:Public School:Lenox:PK,K,01,02,03,04,05:01520000:Level 1:Level 2:12:52:41:52:49:61:0:0:0:0:0:0:0:0:310:6.8:4.5:8.4:27.4:17.1:0.6:5.2:6.5:85.5:0.0:0.0:2.3:54.8:17.5:72217.0:18273.0:17527.3
01530003:Public School:Leominster:PK:01530000:Insufficient data:Level 3:105:0:0:0:0:0:0:0:0:0:0:0:0:0:105:19.0:0.0:51.4:63.8:39.0:4.8:1.9:33.3:58.1:0.0:0.0:1.9:58.1:12.5:68580.0:12837.48:13306.32
01530605:Public School:Leominster:09,10,11,12:01530000:Level 2:Level 3:0:0:0:0:0:0:0:0:0:280:144:146:125:1:696:20.7:2.3:25.7:52.2:36.5:7.8:3.6:31.5:53.6:0.0:0.4:3.2:62.8::68580.0:12837.48:13306.32
01530007:Public School:Leominster:K,01,02,03,04,05:01530000:Level 1:Level 3:0:125:135:110:128:126:0:0:0:0:0:0:0:0:687:25.0:17.3:19.2:52.5:37.1:5.5:1.2:37.3:51.8:0.3:0.0:3.9:50.7:24.3:68580.0:12837.48:13306.32
01530010:Public School:Leominster:K,01,02,03,04,05:01530000:Level 2:Level 3:0:76:80:115:101:107:0:0:0:0:0:0:0:0:567:21.3:11.3:19.2:61.6:51.5:7.4:4.9:40.4:42.5:0.0:0.0:4.8:51.5:18.2:68580.0:12837.48:13306.32
01530025:Public School:Leominster:K,01,02,03,04,05:01530000:Level 1:Level 3:0:91:139:96:114:109:0:0:0:0:0:0:0:0:630:19.2:10.6:20.0:51.6:37.5:11.3:4.4:27.3:52.7:0.6:0.0:3.7:52.1:19.1:68580.0:12837.48:13306.32
01530515:Public School:Leominster:09,10,11,12:01530000:Insufficient data:Level 3:0:0:0:0:0:0:0:0:0:9:15:8:7:0:39:15.4:2.6:46.2:71.8:41.0:7.7:0.0:30.8:51.3:0.0:0.0:10.3:43.6:10.4:68580.0:12837.48:13306.32
01530505:Public School:Leominster:09,10,11,12:01530000:Level 2:Level 3:0:0:0:0:0:0:0:0:0:143:316:344:283:0:1086:21.7:5.6:15.3:39.8:27.4:9.1:3.3:26.0:59.4:0.4:0.0:1.8:46.9:13.4:68580.0:12837.48:13306.32
01530005:Public School:Leominster:PK:01530000:Insufficient data:Level 3:49:0:0:0:0:0:0:0:0:0:0:0:0:0:49:12.2:0.0:63.3:69.4:38.8:12.2:0.0:28.6:55.1:0.0:0.0:4.1:71.4:11.4:68580.0:12837.48:13306.32
01530030:Public School:Leominster:K,01,02,03,04,05:01530000:Level 2:Level 3:0:124:129:146:115:135:0:0:0:0:0:0:0:0:692:17.9:10.4:18.5:57.7:43.1:5.3:1.6:36.4:52.0:0.0:0.0:4.6:51.4:21.2:68580.0:12837.48:13306.32
01530040:Public School:Leominster:K:01530000:Insufficient data:Level 3:0:0:0:0:0:0:0:0:0:0:0:0:0:0:130:29.2:20.8:19.2:70.0:61.5:3.1:4.6:39.2:46.9:0.0:0.0:6.2:50.8:14.8:68580.0:12837.48:13306.32
01530045:Public School:Leominster:06,07,08:01530000:Level 3:Level 3:0:0:0:0:0:0:163:162:157:0:0:0:0:0:482:16.4:1.5:24.1:45.4:31.3:7.5:1.9:29.0:59.3:0.0:0.0:2.3:53.1:14.1:68580.0:12837.48:13306.32
01530320:Public School:Leominster:06,07,08:01530000:Level 2:Level 3:0:0:0:0:0:0:285:306:293:0:0:0:0:0:884:21.4:6.7:21.7:52.0:35.0:7.9:5.0:30.0:53.4:0.2:0.0:3.5:52.0:20.2:68580.0:12837.48:13306.32
01540005:Public School:Leverett:PK,K,01,02,03,04,05,06:01540000:Level 3:Level 3:15:15:24:15:21:17:14:0:0:0:0:0:0:0:136:0.7:0.0:10.9:28.5:23.5:1.5:3.7:5.9:81.6:0.0:0.0:7.4:58.1:16.6:62374.0:19256.3:18537.6
01550008:Public School:Lexington:K,01,02,03,04,05:01550000:Level 1:Level 2:0:83:95:103:115:100:0:0:0:0:0:0:0:0:567:31.2:16.0:10.6:34.0:6.3:4.6:32.1:2.5:52.0:0.0:0.0:8.8:51.3:22.4:80975.0:16939.5:17866.69
01550006:Public School:Lexington:K,01,02,03,04,05:01550000:Level 2:Level 2:0:95:99:97:107:102:0:0:0:0:0:0:0:0:565:30.8:9.2:9.2:25.1:5.0:5.3:40.9:3.0:48.0:0.2:0.2:2.5:51.7:21.7:80975.0:16939.5:17866.69
01550015:Public School:Lexington:K,01,02,03,04,05:01550000:Level 1:Level 2:0:86:89:90:89:75:0:0:0:0:0:0:0:0:479:28.6:12.5:14.8:31.1:2.9:2.7:29.4:2.3:57.8:0.0:0.0:7.7:53.7:21.9:80975.0:16939.5:17866.69
01550030:Public School:Lexington:K,01,02,03,04,05:01550000:Level 1:Level 2:0:76:65:87:79:81:0:0:0:0:0:0:0:0:465:26.7:4.7:13.5:23.0:4.5:3.9:43.9:3.2:42.8:0.2:0.0:6.0:50.1:21.3:80975.0:16939.5:17866.69
01550305:Public School:Lexington:06,07,08:01550000:Level 1:Level 2:0:0:0:0:0:0:303:317:271:0:0:0:0:0:891:24.2:3.5:13.2:22.7:7.0:5.5:38.9:3.6:47.9:0.1:0.0:3.9:51.4:19.4:80975.0:16939.5:17866.69
01550010:Public School:Lexington:K,01,02,03,04,05:01550000:Level 1:Level 2:0:90:86:106:93:88:0:0:0:0:0:0:0:0:535:32.3:12.7:9.3:28.6:6.4:6.4:41.5:3.4:40.6:0.0:0.0:8.2:47.1:21.5:80975.0:16939.5:17866.69
01550001:Public School:Lexington:PK:01550000:Insufficient data:Level 2:78:0:0:0:0:0:0:0:0:0:0:0:0:0:78:34.6:0.0:47.4:55.1:15.4:1.3:41.0:7.7:41.0:0.0:0.0:9.0:66.7:16.8:80975.0:16939.5:17866.69
01550505:Public School:Lexington:09,10,11,12:01550000:Level 1:Level 2:0:0:0:0:0:0:0:0:0:552:555:557:521:0:2185:24.1:2.9:9.9:18.0:5.6:3.5:36.2:3.6:52.4:0.0:0.0:4.2:50.2:19.2:80975.0:16939.5:17866.69
01550035:Public School:Lexington:K,01,02,03,04,05:01550000:Level 1:Level 2:0:63:69:73:94:77:0:0:0:0:0:0:0:0:455:30.3:17.4:16.9:41.5:5.7:3.1:40.2:4.0:44.2:0.0:0.0:8.6:52.3:19.6:80975.0:16939.5:17866.69
01550310:Public School:Lexington:06,07,08:01550000:Level 1:Level 2:0:0:0:0:0:0:305:281:266:0:0:0:0:0:852:23.9:3.5:13.4:21.4:4.0:3.2:34.9:2.5:53.1:0.1:0.0:6.3:49.1:18.4:80975.0:16939.5:17866.69
01570305:Public School:Hanscom Air Force Bs:04,05,06,07,08:01570000:Level 2:Level 2:0:0:0:0:62:51:53:49:34:0:0:0:0:0:249:3.2:1.6:18.5:21.7:2.4:12.4:2.4:19.7:54.6:0.0:0.4:10.4:51.0:14.2:86451.0:20719.44:20937.15
01570006:Public School:Hanscom Air Force Bs:PK,K,01,02,03:01570000:Level 2:Level 2:52:71:53:76:0:0:0:0:0:0:0:0:0:0:322:2.8:2.8:12.4:15.5:0.9:7.5:4.0:18.6:65.2:0.0:0.3:4.3:50.6:16.3:86451.0:20719.44:20937.15
01570025:Public School:Lincoln:PK,K,01,02,03,04,05,06,07,08:01570000:Level 1:Level 2:57:50:66:69:59:69:61:62:72:0:0:0:0:0:629:9.1:3.0:17.3:25.9:8.1:12.6:6.0:9.1:63.4:0.2:0.0:8.7:48.5:16.8:86451.0:20719.44:20937.15
06950505:Public School:Sudbury:09,10,11,12:06950000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:369:378:378:440:3:1568:3.6:0.3:15.4:19.5:5.5:4.3:6.1:4.2:80.6:0.1:0.1:4.7:49.7:19.7:91243.0:16151.19:18550.06
01580505:Public School:Littleton:09,10,11,12:01580000:Level 1:Level 2:0:0:0:0:0:0:0:0:0:124:114:106:123:0:467:2.8:1.1:18.6:22.5:5.4:0.4:4.9:1.5:89.7:0.0:0.6:2.8:49.0:15.8:72469.0:12571.87:13990.04
01580305:Public School:Littleton:06,07,08:01580000:Level 2:Level 2:0:0:0:0:0:0:126:103:122:0:0:0:0:0:351:3.4:0.9:20.5:27.1:9.7:0.6:7.1:1.7:87.2:0.6:0.0:2.8:46.7:17.8:72469.0:12571.87:13990.04
01580015:Public School:Littleton:03,04,05:01580000:Level 2:Level 2:0:0:0:133:120:134:0:0:0:0:0:0:0:0:387:4.4:1.8:19.1:27.6:10.1:2.1:8.8:2.8:83.2:0.0:0.3:2.8:48.1:23.4:72469.0:12571.87:13990.04
01580005:Public School:Littleton:PK,K,01,02:01580000:Insufficient data:Level 2:65:122:131:0:0:0:0:0:0:0:0:0:0:0:441:7.7:4.1:16.8:27.2:10.7:1.4:7.5:2.0:87.3:0.2:0.2:1.4:53.3:21.1:72469.0:12571.87:13990.04
01590005:Public School:Longmeadow:K,01,02,03,04,05:01590000:Level 1:Level 2:0:66:62:95:67:73:0:0:0:0:0:0:0:0:426:8.9:3.1:13.1:21.4:6.6:1.2:18.5:3.3:72.1:0.0:0.7:4.2:50.5:19.8:69770.0:13342.07:14385.39
01590010:Public School:Longmeadow:K,01,02,03,04,05:01590000:Level 2:Level 2:0:62:58:79:75:75:0:0:0:0:0:0:0:0:404:2.7:0.2:16.8:21.0:5.2:1.7:5.2:5.2:83.7:0.0:0.0:4.2:51.7:17.7:69770.0:13342.07:14385.39
01590017:Public School:Longmeadow:06,07,08:01590000:Level 1:Level 2:0:0:0:0:0:0:113:112:109:0:0:0:0:0:334:8.1:2.7:18.9:26.3:7.5:4.2:9.9:5.1:77.2:0.3:0.0:3.3:52.7:19.4:69770.0:13342.07:14385.39
01590505:Public School:Longmeadow:09,10,11,12:01590000:Level 1:Level 2:0:0:0:0:0:0:0:0:0:254:240:226:226:1:947:4.5:0.5:15.8:20.6:5.5:2.4:8.7:3.8:82.9:0.0:0.1:2.1:49.8:18.9:69770.0:13342.07:14385.39
01590305:Public School:Longmeadow:06,07,08:01590000:Level 2:Level 2:0:0:0:0:0:0:101:127:116:0:0:0:0:0:344:3.2:0.0:18.6:21.2:4.9:0.6:5.8:4.1:86.3:0.3:0.0:2.9:55.2:20.1:69770.0:13342.07:14385.39
01590025:Public School:Longmeadow:PK,K,01,02,03,04,05:01590000:Level 2:Level 2:41:49:56:62:66:63:0:0:0:0:0:0:0:0:386:8.0:1.6:18.9:26.7:10.1:2.8:11.4:7.5:72.3:0.0:0.0:6.0:52.6:20.1:69770.0:13342.07:14385.39
01600020:Public School:Lowell:PK,K,01,02,03,04:01600000:Level 1:Level 3:49:84:94:96:90:0:0:0:0:0:0:0:0:0:502:42.2:38.2:15.9:82.7:63.7:4.8:48.2:29.9:12.2:0.2:0.0:4.8:54.8:19.7:76951.0:13577.86:13851.06
01600310:Public School:Lowell:05,06,07,08:01600000:Level 2:Level 3:0:0:0:0:0:135:132:141:137:0:0:0:0:0:545:25.1:23.3:16.7:75.2:55.2:7.7:26.2:28.4:33.2:0.0:0.0:4.4:48.6:21.7:76951.0:13577.86:13851.06
01600090:Public School:Lowell:PK,K,01,02,03,04,05,06,07,08:01600000:Level 1:Level 3:50:44:54:48:54:59:54:59:59:0:0:0:0:0:530:33.6:27.5:22.1:78.9:59.6:9.4:36.8:33.8:15.5:0.2:0.0:4.3:50.9:18.1:76951.0:13577.86:13851.06
01600030:Public School:Lowell:PK,K,01,02,03,04:01600000:Level 2:Level 3:55:91:100:95:94:0:0:0:0:0:0:0:0:0:528:40.5:35.0:15.9:69.1:47.5:3.6:59.7:12.3:19.7:0.4:0.0:4.4:53.0:20.5:76951.0:13577.86:13851.06
01600080:Public School:Lowell:PK,K,01,02,03,04:01600000:Level 2:Level 3:49:83:97:87:93:0:0:0:0:0:0:0:0:0:504:45.4:40.9:16.5:87.3:70.6:4.2:48.0:32.3:9.7:0.2:0.0:5.6:54.0:24.1:76951.0:13577.86:13851.06
01600345:Public School:Lowell:05,06,07,08:01600000:Level 2:Level 3:0:0:0:0:0:206:148:165:172:0:0:0:0:0:691:31.7:24.9:15.5:69.2:52.0:7.5:16.4:42.0:31.1:0.0:0.0:3.0:51.4:21.0:76951.0:13577.86:13851.06
01600002:Public School:Lowell:PK,K,01,02,03,04:01600000:Level 2:Level 3:28:93:98:97:96:0:0:0:0:0:0:0:0:0:505:28.3:23.4:14.5:66.3:50.5:4.4:34.3:21.6:34.5:0.2:0.0:5.1:57.4:18.4:76951.0:13577.86:13851.06
01600015:Public School:Lowell:PK,K,01,02,03,04:01600000:Level 3:Level 3:60:87:92:90:83:0:0:0:0:0:0:0:0:0:501:31.5:27.1:13.0:78.2:65.1:10.2:14.2:40.1:31.3:0.0:0.2:4.0:51.3:21.8:76951.0:13577.86:13851.06
01600330:Public School:Lowell:05,06,07,08:01600000:Level 3:Level 3:0:0:0:0:0:154:139:169:156:0:0:0:0:0:618:30.9:29.0:15.5:84.1:67.0:11.7:19.4:41.3:24.4:0.0:0.0:3.2:52.9:20.3:76951.0:13577.86:13851.06
01600315:Public School:Lowell:05,06,07,08:01600000:Level 1:Level 3:0:0:0:0:0:176:174:169:177:0:0:0:0:0:696:23.0:20.0:18.1:64.4:43.5:3.9:43.2:18.2:29.5:0.0:0.0:5.2:51.4:21.3:76951.0:13577.86:13851.06
01600340:Public School:Lowell:05,06,07,08:01600000:Level 3:Level 3:0:0:0:0:0:175:153:172:170:0:0:0:0:0:670:35.4:32.5:15.5:73.6:59.4:9.1:12.7:38.7:36.7:0.0:0.0:2.8:51.3:23.1:76951.0:13577.86:13851.06
01600050:Public School:Lowell:PK,K,01,02,03,04:01600000:Level 3:Level 3:32:91:90:93:93:0:0:0:0:0:0:0:0:0:484:33.5:28.7:19.2:78.5:52.7:4.3:29.5:36.0:25.8:0.2:0.0:4.1:51.4:18.9:76951.0:13577.86:13851.06
01600010:Public School:Lowell:PK,K,01,02,03,04:01600000:Level 3:Level 3:30:82:100:94:94:0:0:0:0:0:0:0:0:0:496:37.3:32.5:17.7:78.8:61.1:5.6:14.1:54.4:22.2:0.0:0.0:3.6:52.8:18.3:76951.0:13577.86:13851.06
01600360:Public School:Lowell:05,06,07,08:01600000:Level 3:Level 3:0:0:0:0:0:166:148:181:178:0:0:0:0:0:673:45.2:39.5:15.0:82.9:63.0:4.3:53.8:29.1:10.0:0.0:0.0:2.8:52.5:19.6:76951.0:13577.86:13851.06
01600085:Public School:Lowell:03,04,05,06,07:01600000:Insufficient data:Level 3:0:0:1:1:4:2:4:6:0:0:0:0:0:0:18:11.1:5.6:100.0:100.0:94.4:16.7:0.0:38.9:33.3:0.0:0.0:11.1:100.0:2.7:76951.0:13577.86:13851.06
01600320:Public School:Lowell:08,09,10,11,12:01600000:Insufficient data:Level 3:0:0:0:0:0:0:0:0:2:8:9:5:9:0:33:3.0:0.0:100.0:100.0:93.9:12.1:6.1:60.6:18.2:0.0:0.0:3.0:72.7:6.1:76951.0:13577.86:13851.06
01600505:Public School:Lowell:09,10,11,12:01600000:Level 3:Level 3:0:0:0:0:0:0:0:0:0:839:763:784:721:38:3145:18.5:11.2:10.3:56.3:44.3:11.3:32.0:23.8:30.8:0.1:0.0:1.9:50.0:18.3:76951.0:13577.86:13851.06
01600027:Public School:Lowell:PK,K,01,02,03,04:01600000:Level 2:Level 3:27:39:45:48:43:0:0:0:0:0:0:0:0:0:249:45.8:44.2:7.6:87.1:69.5:3.6:16.5:38.2:34.9:0.0:0.0:6.8:49.0:21.6:76951.0:13577.86:13851.06
01600036:Public School:Lowell:PK,K,01,02,03,04:01600000:Level 1:Level 3:31:95:98:96:92:0:0:0:0:0:0:0:0:0:505:26.5:23.2:15.4:63.6:45.5:6.5:21.6:26.9:40.6:0.0:0.0:4.4:55.0:18.4:76951.0:13577.86:13851.06
01600040:Public School:Lowell:K,01,02,03,04:01600000:Level 1:Level 3:0:111:103:123:116:0:0:0:0:0:0:0:0:0:549:31.7:29.0:10.7:63.6:51.5:4.4:7.8:37.7:46.4:0.0:0.0:3.6:48.5:19.8:76951.0:13577.86:13851.06
01600018:Public School:Lowell:PK,K,01,02,03,04,05,06,07,08:01600000:Level 2:Level 3:32:49:49:53:48:60:55:50:53:0:0:0:0:0:498:23.3:21.7:23.1:66.7:43.2:6.0:13.1:32.3:44.8:0.0:0.0:3.8:53.6:18.0:76951.0:13577.86:13851.06
01600005:Public School:Lowell:PK,K,01,02,03,04,05:01600000:Insufficient data:Level 3:57:102:106:102:94:55:0:0:0:0:0:0:0:0:607:38.1:31.1:14.5:79.7:64.3:9.4:23.9:37.9:24.7:0.0:0.0:4.1:53.0:18.2:76951.0:13577.86:13851.06
01600075:Public School:Lowell:PK,K,01,02,03,04:01600000:Level 1:Level 3:39:83:91:89:98:0:0:0:0:0:0:0:0:0:492:25.6:20.7:15.2:71.5:61.2:5.3:11.6:44.3:35.6:0.0:0.0:3.3:48.4:18.0:76951.0:13577.86:13851.06
01600515:Public School:Lowell:09,10,11,12:01600000::Level 3:0:0:0:0:0:0:0:0:0:20:38:18:43:0:119:10.1:9.2:10.9:74.8:67.2:9.2:14.3:48.7:24.4:0.0:0.0:3.4:65.5::76951.0:13577.86:13851.06
01600055:Public School:Lowell:PK,K,01,02,03,04:01600000:Level 1:Level 3:27:43:48:51:49:0:0:0:0:0:0:0:0:0:258:39.5:33.3:18.2:71.3:42.2:5.0:47.7:21.7:18.6:0.0:0.0:7.0:55.8:15.5:76951.0:13577.86:13851.06
