School_Code:SC_CAT_NC_BP:Town:SC_CAT_NC_BR:SC_CAT_NC_BS:SC_CAT_NC_BT:SC_CAT_NC_BU:SC_V_NC_BV:SC_V_NC_BX:SC_V_NC_BY:SC_V_NC_BZ:SC_V_NC_CA:SC_V_NC_CB:SC_V_NC_CC:SC_V_NC_CD:SC_V_NC_CE:SC_V_NC_CF:SC_V_NC_CG:SC_V_NC_CH:SC_V_NC_CI:SC_V_NC_CJ:SC_V_NC_CK:SC_P_NC_CL:SC_P_NC_CM:SC_P_NC_CN:SC_P_NC_CO:SC_P_NC_CP:SC_P_C_CQ1:SC_P_C_CQ2:SC_P_C_CQ3:SC_P_C_CQ4:SC_P_C_CQ5:SC_P_C_CQ6:SC_P_C_CQ7:SC_P_NC_CR:SC_V_NC_CS:SC_V_NC_CT:SC_V_NC_CU:SC_V_NC_CV
00090005:Public School:Andover:PK:00090000:Insufficient data:Level 2:73:0:0:0:0:0:0:0:0:0:0:0:0:0:73:9.6:0.0:49.3:52.1:11.0:2.7:27.4:2.7:65.8:1.4:0.0:0.0:53.4:12.5:81211.0:14703.35:15601.7
00090020:Public School:Andover:K,01,02,03,04,05:00090000:Level 1:Level 2:0:91:68:90:85:89:0:0:0:0:0:0:0:0:493:14.2:6.9:15.6:25.8:3.2:0.0:18.5:4.9:75.7:0.2:0.2:0.6:50.9:21.9:81211.0:14703.35:15601.7
00090025:Public School:Andover:K,01,02,03,04,05:00090000:Level 2:Level 2:0:99:107:103:112:119:0:0:0:0:0:0:0:0:636:11.9:5.0:20.9:30.5:8.2:3.0:14.6:6.8:72.5:0.2:0.0:3.0:51.7:22.9:81211.0:14703.35:15601.7
00090350:Public School:Andover:06,07,08:00090000:Level 1:Level 2:0:0:0:0:0:0:120:143:156:0:0:0:0:0:419:18.9:1.4:18.9:26.3:6.7:3.1:26.5:6.2:61.8:0.0:0.0:2.4:45.8:18.6:81211.0:14703.35:15601.7
00100505:Public School:Arlington:09,10,11,12:00100000:Level 1:Level 2:0:0:0:0:0:0:0:0:0:332:350:312:295:1:1290:12.4:0.9:11.1:20.7:10.3:4.1:10.7:5.7:75.6:0.0:0.2:3.7:49.1:14.3:66493.0:12316.61:13382.77
00100010:Public School:Arlington:K,01,02,03,04,05:00100000:Level 1:Level 2:0:70:93:79:63:82:0:0:0:0:0:0:0:0:476:5.9:2.7:11.8:17.0:3.8:1.5:10.3:4.6:77.1:0.0:0.2:6.3:52.1:18.3:66493.0:12316.61:13382.77
00100025:Public School:Arlington:K,01,02,03,04,05:00100000:Level 1:Level 2:0:70:79:79:74:77:0:0:0:0:0:0:0:0:466:3.2:2.4:14.2:20.2:4.9:1.7:12.4:4.5:77.9:0.0:0.2:3.2:51.9:16.9:66493.0:12316.61:13382.77
00100030:Public School:Arlington:K,01,02,03,04,05:00100000:Level 2:Level 2:0:79:76:64:61:76:0:0:0:0:0:0:0:0:451:16.0:12.6:12.9:31.5:8.2:4.9:15.7:7.3:68.1:0.2:0.4:3.3:54.3:21.6:66493.0:12316.61:13382.77
00100005:Public School:Arlington:K,01,02,03,04,05:00100000:Level 2:Level 2:0:73:69:70:68:76:0:0:0:0:0:0:0:0:425:8.9:4.9:9.2:19.5:6.1:4.2:14.6:3.1:72.9:0.0:0.7:4.5:49.4:23.7:66493.0:12316.61:13382.77
00100055:Public School:Arlington:K,01,02,03,04,05:00100000:Level 2:Level 2:0:74:58:65:67:64:0:0:0:0:0:0:0:0:396:11.6:7.8:14.1:26.8:9.1:2.5:18.2:6.3:68.4:0.0:0.0:4.5:49.7:17.2:66493.0:12316.61:13382.77
00100038:Public School:Arlington:PK:00100000:Insufficient data:Level 2:70:0:0:0:0:0:0:0:0:0:0:0:0:0:70:11.4:0.0:52.9:55.7:8.6:0.0:12.9:5.7:78.6:0.0:0.0:2.9:62.9:14.4:66493.0:12316.61:13382.77
00100410:Public School:Arlington:06,07,08:00100000:Level 1:Level 2:0:0:0:0:0:0:421:409:378:0:0:0:0:0:1208:12.9:2.2:15.1:25.1:9.9:4.2:10.0:5.5:75.3:0.0:0.0:5.0:47.0:19.1:66493.0:12316.61:13382.77
00100045:Public School:Arlington:K,01,02,03,04,05:00100000:Level 2:Level 2:0:47:44:45:47:45:0:0:0:0:0:0:0:0:276:10.9:9.4:11.6:22.5:4.3:4.0:12.3:8.3:72.8:0.0:0.0:2.5:49.6:22.0:66493.0:12316.61:13382.77
00100050:Public School:Arlington:K,01,02,03,04,05:00100000:Level 2:Level 2:0:76:86:76:82:51:0:0:0:0:0:0:0:0:466:17.4:12.4:9.0:31.5:15.0:5.4:16.1:10.7:62.0:0.6:0.2:4.9:51.9:23.0:66493.0:12316.61:13382.77
